6.472856e+01 -4.621955e+00 1.832688e+01 8.037434e+02	1.263517e+01 1.250342e-01
6.261840e+01 -1.320322e+01 1.874239e+01 7.776168e+02	9.543389e+00 2.985464e-01
5.722373e+01 -4.809165e+00 1.889215e+01 7.093899e+02	6.826197e+00 5.554957e-01
6.259933e+01 -9.237727e+00 1.843147e+01 7.768872e+02	1.543365e+01 5.124196e-02
5.732846e+01 -1.015374e+01 1.851621e+01 7.127786e+02	1.157629e+01 1.711335e-01
5.751957e+01 -7.956997e+00 1.892110e+01 7.140187e+02	5.097002e+00 7.471599e-01
6.218882e+01 -1.166733e+01 1.878090e+01 7.726014e+02	5.471078e+00 7.062422e-01
5.835693e+01 -9.941893e+00 1.870550e+01 7.246632e+02	4.136419e+00 8.446102e-01
6.275334e+01 -1.212950e+01 1.889206e+01 7.794214e+02	7.727957e+00 4.604851e-01
6.206241e+01 -1.085027e+01 1.885836e+01 7.704113e+02	9.740481e+00 2.837153e-01
6.135750e+01 -1.216649e+01 1.895792e+01 7.619923e+02	6.677603e+00 5.717822e-01
5.984896e+01 -1.098306e+01 1.832864e+01 7.429965e+02	8.040777e+00 4.294971e-01
6.330314e+01 -7.990669e+00 1.876634e+01 7.875552e+02	7.987600e+00 4.346823e-01
6.442083e+01 -1.224706e+01 1.855663e+01 8.017982e+02	5.610904e+00 6.907242e-01
5.748740e+01 -5.746017e+00 1.867893e+01 7.136592e+02	4.402704e+00 8.190865e-01
6.111180e+01 -7.199606e+00 1.869612e+01 7.595756e+02	5.215711e+00 7.342915e-01
6.369356e+01 -8.588561e+00 1.868158e+01 7.905017e+02	1.480822e+01 6.298358e-02
6.231704e+01 -5.176699e+00 1.884651e+01 7.742512e+02	4.829682e+00 7.756152e-01
5.776856e+01 -1.121745e+01 1.897481e+01 7.177409e+02	8.048058e+00 4.287899e-01
6.454136e+01 -1.310501e+01 1.882001e+01 8.022077e+02	6.509821e+00 5.903185e-01
6.180748e+01 -7.821271e+00 1.849442e+01 7.672581e+02	8.824182e+00 3.573443e-01
6.413684e+01 -7.828193e+00 1.849919e+01 7.961769e+02	1.439670e+01 7.199376e-02
6.418831e+01 -4.917551e+00 1.890409e+01 7.964435e+02	1.550626e+01 5.001757e-02
5.740959e+01 -1.090402e+01 1.841658e+01 7.141155e+02	1.473800e+01 6.444468e-02
5.892020e+01 -7.653602e+00 1.872352e+01 7.303832e+02	1.385791e+01 8.554488e-02
6.439994e+01 -8.793375e+00 1.875734e+01 8.007118e+02	4.668165e+00 7.923825e-01
6.235739e+01 -6.512437e+00 1.831274e+01 7.753336e+02	4.194696e+00 8.391438e-01
6.137901e+01 -5.176004e+00 1.843356e+01 7.613515e+02	1.500089e+01 5.912824e-02
6.183229e+01 -3.783915e+00 1.890576e+01 7.691788e+02	1.395147e+01 8.303914e-02
6.094677e+01 -3.676861e+00 1.889734e+01 7.573879e+02	6.930000e+00 5.442037e-01
5.809821e+01 -7.001238e+00 1.853200e+01 7.223438e+02	1.200137e+01 1.511428e-01
6.252241e+01 -8.954295e+00 1.851495e+01 7.773722e+02	4.167772e+00 8.416780e-01
6.131880e+01 -9.559107e+00 1.846088e+01 7.618570e+02	4.275804e+00 8.314216e-01
6.300014e+01 -4.209922e+00 1.882969e+01 7.828866e+02	4.859316e+00 7.725014e-01
6.296065e+01 -8.208828e+00 1.863408e+01 7.824795e+02	4.238932e+00 8.349484e-01
6.229301e+01 -8.295723e+00 1.830815e+01 7.746262e+02	4.219979e+00 8.367507e-01
6.473032e+01 -5.546065e+00 1.863435e+01 8.045547e+02	4.530236e+00 8.064005e-01
